OrderID,Date,CustomerID,Product,Quantity,UnitPrice,TotalAmount,Region,SalesRep,PaymentMethod
ORD00001,2023-05-28,CUST5009,Mouse,10,1154,11540,South,David,Bank Transfer
ORD00002,2023-01-14,CUST1662,Headphones,6,268,1608,West,Charlie,Credit Card
ORD00003,2023-11-10,CUST5512,Tablet,5,1345,6725,North,Alice,UPI
ORD00004,2023-08-27,CUST7075,Tablet,6,928,5568,North,Charlie,UPI
ORD00005,2023-11-30,CUST1471,Headphones,4,884,3536,West,Eve,Credit Card
ORD00006,2023-08-02,CUST3448,Laptop,5,177,885,South,Frank,Credit Card
ORD00007,2023-12-14,CUST7150,Keyboard,2,513,1026,South,Eve,UPI
ORD00008,2023-05-29,CUST2183,Headphones,5,1100,5500,North,Alice,UPI
ORD00009,2023-08-09,CUST8582,Tablet,9,545,4905,South,Charlie,Cash
ORD00010,2023-10-09,CUST8660,Smartwatch,2,347,694,West,Charlie,Credit Card
ORD00011,2023-07-24,CUST1819,Keyboard,5,1471,7355,West,David,UPI
ORD00012,2023-07-31,CUST4824,Keyboard,9,1905,17145,East,Eve,Debit Card
ORD00013,2023-09-09,CUST3726,Mouse,10,663,6630,West,Bob,UPI
ORD00014,2023-03-09,CUST6135,Laptop,6,1421,8526,West,Eve,UPI
ORD00015,2023-11-06,CUST4392,Headphones,6,1044,6264,South,Frank,Cash
ORD00016,2023-02-20,CUST3356,Keyboard,2,453,906,North,Charlie,Cash
ORD00017,2023-12-06,CUST7758,Monitor,1,608,608,East,Eve,UPI
ORD00018,2023-07-01,CUST1417,Laptop,4,1471,5884,North,Charlie,Bank Transfer
ORD00019,2023-04-12,CUST5675,Monitor,7,1822,12754,East,Bob,UPI
ORD00020,2023-05-22,CUST6711,Laptop,8,1542,12336,North,Bob,Debit Card
ORD00021,2023-10-20,CUST8413,Headphones,10,355,3550,North,Charlie,Cash
ORD00022,2023-11-11,CUST3550,Keyboard,1,163,163,South,Grace,Debit Card
ORD00023,2023-01-06,CUST2423,Headphones,5,1995,9975,South,Hannah,Debit Card
ORD00024,2023-09-24,CUST6536,Laptop,10,1964,19640,North,Charlie,Cash
ORD00025,2023-08-09,CUST5679,Smartphone,7,1412,9884,West,Grace,Debit Card
ORD00026,2023-06-03,CUST2600,Laptop,4,828,3312,East,Bob,Debit Card
ORD00027,2023-10-26,CUST9312,Tablet,3,1804,5412,East,Frank,UPI
ORD00028,2023-03-06,CUST9510,Mouse,8,1719,13752,North,Eve,Bank Transfer
ORD00029,2023-04-27,CUST9443,Tablet,6,1068,6408,North,Hannah,Credit Card
ORD00030,2023-06-18,CUST1776,Keyboard,1,1180,1180,East,Grace,Cash
ORD00031,2023-08-25,CUST3623,Smartwatch,6,1533,9198,North,Charlie,Bank Transfer
ORD00032,2023-11-22,CUST6927,Headphones,3,1082,3246,South,Frank,Credit Card
ORD00033,2023-06-16,CUST1810,Tablet,1,892,892,East,Hannah,Cash
ORD00034,2023-02-15,CUST1344,Tablet,9,245,2205,East,Frank,Credit Card
ORD00035,2023-05-30,CUST9337,Laptop,3,365,1095,West,Charlie,Debit Card
ORD00036,2023-09-12,CUST2576,Keyboard,8,830,6640,North,David,UPI
ORD00037,2023-09-25,CUST6565,Laptop,3,1847,5541,North,Grace,Bank Transfer
ORD00038,2023-12-15,CUST2061,Tablet,7,1811,12677,East,Alice,Cash
ORD00039,2023-05-25,CUST7164,Laptop,9,1535,13815,North,Grace,Cash
ORD00040,2023-10-09,CUST5454,Keyboard,6,1142,6852,West,Alice,Cash
ORD00041,2023-01-27,CUST1800,Keyboard,9,207,1863,East,Charlie,Cash
ORD00042,2023-07-25,CUST4479,Mouse,10,1003,10030,West,Eve,Credit Card
ORD00043,2023-01-29,CUST9022,Monitor,3,1841,5523,South,Bob,Debit Card
ORD00044,2023-11-07,CUST2939,Laptop,1,547,547,East,Charlie,Debit Card
ORD00045,2023-11-17,CUST8812,Keyboard,3,366,1098,East,Bob,Debit Card
ORD00046,2023-03-07,CUST9151,Mouse,2,1071,2142,South,David,UPI
ORD00047,2023-10-10,CUST6087,Monitor,7,722,5054,East,Frank,UPI
ORD00048,2023-04-29,CUST2934,Tablet,10,352,3520,West,Frank,Credit Card
ORD00049,2023-08-04,CUST2436,Smartphone,7,1797,12579,West,Alice,Credit Card
ORD00050,2023-02-26,CUST6314,Mouse,8,429,3432,East,David,UPI
ORD00051,2023-01-15,CUST8034,Tablet,10,1200,12000,West,Frank,Credit Card
ORD00052,2023-12-04,CUST4085,Smartwatch,6,510,3060,East,Grace,Bank Transfer
ORD00053,2023-10-15,CUST3762,Mouse,10,330,3300,South,Frank,Bank Transfer
ORD00054,2023-05-23,CUST3972,Smartphone,2,1791,3582,East,Grace,UPI
ORD00055,2023-05-24,CUST7893,Laptop,10,1533,15330,West,Frank,Bank Transfer
ORD00056,2023-02-27,CUST2269,Tablet,9,1531,13779,West,Frank,Bank Transfer
ORD00057,2023-02-20,CUST3606,Tablet,7,1611,11277,South,Bob,Cash
ORD00058,2023-09-08,CUST1552,Laptop,1,992,992,West,Bob,UPI
ORD00059,2023-06-16,CUST7042,Smartwatch,9,1400,12600,East,Eve,Bank Transfer
ORD00060,2023-06-28,CUST5896,Smartphone,5,611,3055,East,Bob,Debit Card
ORD00061,2023-04-07,CUST9689,Smartphone,9,1392,12528,North,Eve,Cash
ORD00062,2023-07-02,CUST2103,Smartphone,8,1283,10264,East,David,Debit Card
ORD00063,2023-01-20,CUST5036,Mouse,8,372,2976,West,Hannah,Bank Transfer
